Timestamp,Server 1,Server 2,Server 3,Server 4
2024-11-26 15:28:14,35.50%,29.25%,22.25%,27.25%
2024-11-26 15:28:16,25.25%,35.25%,29.25%,23.50%
2024-11-26 15:28:18,40.25%,33.25%,21.00%,22.50%
2024-11-26 15:28:20,36.00%,34.50%,37.00%,24.00%
2024-11-26 15:28:22,27.25%,36.50%,34.25%,23.00%
2024-11-26 15:28:24,29.25%,23.00%,38.25%,26.00%
2024-11-26 15:28:26,26.00%,26.25%,44.00%,38.25%
2024-11-26 15:28:28,21.00%,20.25%,42.50%,28.00%
2024-11-26 15:28:30,26.25%,26.25%,34.00%,21.50%
2024-11-26 15:28:32,33.25%,37.25%,25.25%,41.00%
2024-11-26 15:28:34,33.25%,26.25%,39.00%,32.00%
2024-11-26 15:28:36,24.25%,33.25%,31.25%,32.25%
2024-11-26 15:28:38,17.00%,30.25%,32.25%,22.25%
2024-11-26 15:28:40,36.00%,33.00%,31.25%,29.50%
2024-11-26 15:28:42,38.50%,32.25%,31.00%,29.50%
2024-11-26 15:28:44,30.00%,21.00%,27.25%,25.00%
2024-11-26 15:28:46,38.25%,36.00%,29.25%,32.25%
2024-11-26 15:28:48,33.75%,28.50%,25.25%,24.25%
2024-11-26 15:28:50,28.25%,28.25%,21.00%,31.50%
2024-11-26 15:28:52,29.00%,24.25%,35.50%,20.25%
2024-11-26 15:28:54,34.25%,28.25%,23.00%,35.25%
2024-11-26 15:28:56,35.75%,37.50%,30.25%,29.25%
2024-11-26 15:28:58,25.00%,34.25%,33.25%,28.25%
2024-11-26 15:29:00,36.50%,28.74%,34.25%,23.00%
2024-11-26 15:29:02,32.25%,33.25%,31.25%,32.00%
2024-11-26 15:29:04,29.00%,22.25%,39.50%,34.25%
2024-11-26 15:29:06,31.00%,30.25%,24.50%,37.25%
2024-11-26 15:29:08,30.25%,29.25%,33.25%,20.25%
2024-11-26 15:29:10,30.00%,25.00%,17.25%,36.25%
2024-11-26 15:29:12,23.00%,27.50%,33.50%,22.25%
2024-11-26 15:29:14,29.25%,28.00%,27.25%,29.25%
2024-11-26 15:29:16,26.00%,33.00%,40.50%,28.00%
2024-11-26 15:29:18,25.00%,29.50%,29.25%,31.25%
2024-11-26 15:29:20,35.50%,32.25%,42.25%,34.25%
2024-11-26 15:29:22,33.25%,30.25%,31.25%,31.00%
2024-11-26 15:29:24,32.25%,30.25%,26.25%,N/A
2024-11-26 15:29:26,26.00%,24.25%,27.25%,N/A
2024-11-26 15:29:28,29.25%,19.00%,25.25%,29.25%
2024-11-26 15:29:30,30.00%,32.50%,33.25%,24.25%
2024-11-26 15:29:32,17.25%,32.00%,32.25%,32.25%
2024-11-26 15:29:34,35.00%,35.25%,26.00%,38.25%
2024-11-26 15:29:36,25.50%,31.25%,20.25%,37.25%
2024-11-26 15:29:38,34.25%,35.00%,24.00%,27.25%
2024-11-26 15:29:40,33.25%,32.00%,33.25%,31.25%
2024-11-26 15:29:42,29.00%,21.50%,24.25%,28.25%
2024-11-26 15:29:44,22.25%,27.00%,28.25%,36.25%
2024-11-26 15:29:46,38.25%,37.00%,26.00%,28.25%
2024-11-26 15:29:48,N/A,29.25%,27.25%,21.25%
2024-11-26 15:29:50,N/A,24.25%,29.25%,40.25%
2024-11-26 15:29:52,N/A,25.25%,27.25%,35.25%
2024-11-26 15:29:54,35.00%,37.25%,28.00%,26.00%
2024-11-26 15:29:56,40.25%,30.25%,39.25%,34.50%
2024-11-26 15:29:58,29.00%,21.25%,32.00%,29.25%
2024-11-26 15:30:00,30.00%,27.50%,27.25%,29.00%
2024-11-26 15:30:02,37.25%,24.25%,30.50%,23.00%
2024-11-26 15:30:04,22.25%,28.25%,32.25%,22.00%
2024-11-26 15:30:06,27.50%,39.00%,28.25%,26.50%
2024-11-26 15:30:08,26.25%,29.25%,25.50%,20.50%
2024-11-26 15:30:10,40.25%,30.00%,25.50%,16.25%
2024-11-26 15:30:12,27.00%,34.25%,28.25%,31.00%
2024-11-26 15:30:14,21.25%,26.25%,39.00%,30.50%
2024-11-26 15:30:16,31.25%,27.25%,26.00%,33.00%
2024-11-26 15:30:18,32.25%,28.00%,30.25%,38.75%
2024-11-26 15:30:20,25.25%,23.25%,33.00%,13.00%
2024-11-26 15:30:22,22.25%,32.25%,28.25%,33.50%
2024-11-26 15:30:24,35.00%,N/A,30.25%,29.25%
2024-11-26 15:30:26,28.00%,N/A,37.50%,39.25%
2024-11-26 15:30:28,28.25%,N/A,21.00%,34.00%
2024-11-26 15:30:30,36.25%,38.25%,27.25%,37.25%
2024-11-26 15:30:32,19.25%,31.25%,32.00%,38.25%
2024-11-26 15:30:34,17.00%,21.25%,32.25%,30.75%
2024-11-26 15:30:36,30.25%,30.50%,26.25%,26.25%
2024-11-26 15:30:38,30.25%,24.00%,28.00%,36.00%
2024-11-26 15:30:40,27.00%,35.50%,33.25%,26.50%
2024-11-26 15:30:42,37.00%,35.25%,35.50%,31.50%
2024-11-26 15:30:44,27.00%,39.25%,29.00%,36.25%
2024-11-26 15:30:46,26.25%,30.25%,34.25%,38.25%
2024-11-26 15:30:48,38.00%,37.50%,36.25%,24.25%
2024-11-26 15:30:50,33.25%,28.00%,27.25%,28.25%
2024-11-26 15:30:53,34.50%,29.75%,N/A,30.00%
2024-11-26 15:30:55,37.00%,28.25%,N/A,26.25%
2024-11-26 15:30:57,22.25%,29.00%,N/A,37.25%
2024-11-26 15:30:59,35.25%,36.25%,N/A,24.50%
2024-11-26 15:31:01,36.00%,28.25%,N/A,30.25%
2024-11-26 15:31:03,23.00%,27.74%,N/A,24.25%
2024-11-26 15:31:05,20.50%,22.25%,N/A,26.00%
2024-11-26 15:31:07,20.25%,30.00%,N/A,18.00%
2024-11-26 15:31:09,38.50%,23.25%,N/A,32.25%
2024-11-26 15:31:11,35.00%,38.25%,N/A,24.74%
2024-11-26 15:31:13,30.25%,38.25%,30.00%,29.00%
2024-11-26 15:31:15,32.00%,24.25%,42.25%,26.50%
2024-11-26 15:31:17,24.25%,26.00%,26.25%,20.75%
2024-11-26 15:31:19,29.00%,24.00%,20.25%,29.00%
2024-11-26 15:31:21,23.75%,42.25%,19.25%,34.50%
2024-11-26 15:31:23,32.25%,34.00%,29.00%,33.00%
2024-11-26 15:31:25,24.25%,28.25%,30.25%,29.25%
2024-11-26 15:31:27,25.25%,28.25%,30.25%,39.25%
2024-11-26 15:31:29,28.00%,24.25%,35.00%,35.25%
2024-11-26 15:31:31,25.25%,27.25%,38.25%,19.25%
2024-11-26 15:31:33,26.25%,33.25%,35.00%,32.50%
2024-11-26 15:31:35,36.00%,43.25%,35.00%,36.00%
2024-11-26 15:31:37,32.25%,35.00%,27.00%,32.25%
2024-11-26 15:31:39,35.25%,33.00%,36.00%,33.25%
2024-11-26 15:31:41,29.25%,28.25%,35.25%,17.25%
2024-11-26 15:31:43,26.00%,31.25%,33.25%,38.00%
2024-11-26 15:31:45,35.25%,33.25%,22.50%,26.25%
2024-11-26 15:31:47,41.25%,27.00%,42.00%,27.50%
2024-11-26 15:31:49,33.74%,28.25%,30.50%,30.25%
2024-11-26 15:31:51,26.25%,19.25%,19.00%,35.00%
2024-11-26 15:31:53,24.25%,37.00%,34.50%,36.25%
2024-11-26 15:31:55,27.25%,38.25%,28.25%,29.00%
2024-11-26 15:31:57,27.25%,37.00%,28.25%,25.00%
2024-11-26 15:31:59,27.25%,29.50%,32.50%,34.50%
2024-11-26 15:32:01,24.00%,42.00%,36.25%,30.00%
2024-11-26 15:32:03,37.00%,31.00%,25.00%,32.50%
2024-11-26 15:32:05,35.25%,28.25%,27.25%,32.00%
2024-11-26 15:32:07,29.25%,32.00%,27.25%,23.50%
2024-11-26 15:32:09,32.25%,33.25%,36.25%,34.00%
2024-11-26 15:32:11,40.00%,31.25%,30.50%,29.25%
2024-11-26 15:32:13,28.50%,30.50%,35.25%,27.25%
2024-11-26 15:32:15,23.50%,25.25%,26.50%,30.25%
2024-11-26 15:32:17,23.00%,34.25%,30.50%,34.00%
2024-11-26 15:32:19,33.25%,27.25%,33.00%,32.25%
2024-11-26 15:32:21,33.00%,28.50%,27.00%,35.25%
2024-11-26 15:32:23,23.00%,41.00%,27.50%,32.00%
2024-11-26 15:32:25,38.00%,29.25%,28.50%,32.00%
2024-11-26 15:32:27,28.25%,30.00%,31.25%,29.25%
2024-11-26 15:32:29,26.25%,28.25%,22.25%,20.00%
2024-11-26 15:32:31,40.00%,36.25%,35.25%,26.00%
2024-11-26 15:32:33,31.25%,30.25%,30.00%,41.25%
2024-11-26 15:32:35,33.25%,33.25%,28.25%,20.25%
2024-11-26 15:32:37,26.25%,26.50%,34.25%,28.50%
2024-11-26 15:32:39,26.50%,35.00%,30.25%,21.50%
2024-11-26 15:32:41,34.25%,29.50%,31.99%,29.25%
2024-11-26 15:32:43,28.00%,20.00%,32.25%,33.00%
2024-11-26 15:32:45,24.50%,33.00%,29.25%,34.25%
2024-11-26 15:32:47,27.25%,29.00%,31.25%,29.25%
2024-11-26 15:32:49,40.00%,33.25%,29.00%,27.50%
2024-11-26 15:32:51,29.25%,24.25%,27.25%,24.00%
2024-11-26 15:32:53,21.25%,33.00%,32.25%,33.25%
2024-11-26 15:32:55,29.25%,25.74%,28.00%,32.00%
2024-11-26 15:32:57,31.50%,19.25%,21.00%,31.25%
2024-11-26 15:32:59,43.00%,30.25%,25.25%,27.00%
2024-11-26 15:33:01,24.00%,28.50%,28.00%,34.50%
2024-11-26 15:33:03,18.25%,29.00%,35.00%,N/A
2024-11-26 15:33:05,42.25%,28.25%,31.50%,23.25%
2024-11-26 15:33:07,33.00%,32.00%,26.50%,28.75%
2024-11-26 15:33:09,30.25%,34.25%,39.25%,32.50%
2024-11-26 15:33:11,33.25%,34.25%,34.00%,33.50%
2024-11-26 15:33:13,25.25%,25.25%,36.25%,36.25%
2024-11-26 15:33:15,28.00%,22.00%,25.00%,27.50%
2024-11-26 15:33:17,30.25%,34.00%,34.25%,25.25%
2024-11-26 15:33:19,29.25%,29.00%,31.25%,31.00%
2024-11-26 15:33:21,34.00%,36.25%,21.25%,27.25%
2024-11-26 15:33:23,28.50%,31.00%,31.00%,21.25%
2024-11-26 15:33:25,34.25%,30.25%,28.00%,27.00%
2024-11-26 15:33:27,31.00%,25.25%,32.00%,27.50%
2024-11-26 15:33:29,N/A,29.25%,21.50%,26.50%
2024-11-26 15:33:31,31.25%,29.25%,32.50%,29.00%
2024-11-26 15:33:33,30.25%,32.25%,34.25%,33.25%
2024-11-26 15:33:35,29.25%,27.25%,18.25%,32.25%
2024-11-26 15:33:37,31.00%,28.25%,21.00%,30.00%
2024-11-26 15:33:39,32.25%,32.25%,24.25%,18.00%
2024-11-26 15:33:41,28.25%,26.25%,33.25%,28.25%
2024-11-26 15:33:43,27.25%,40.25%,29.00%,37.00%
2024-11-26 15:33:45,31.00%,24.25%,28.00%,23.25%
2024-11-26 15:33:47,38.25%,30.25%,30.50%,21.50%
2024-11-26 15:33:49,25.25%,20.00%,24.00%,30.00%
2024-11-26 15:33:51,31.25%,33.25%,28.00%,28.25%
2024-11-26 15:33:53,32.50%,36.50%,28.00%,33.50%
2024-11-26 15:33:55,28.00%,30.25%,35.25%,42.25%
2024-11-26 15:33:57,24.25%,25.00%,40.00%,24.00%
2024-11-26 15:33:59,33.50%,39.25%,20.50%,27.50%
2024-11-26 15:34:01,29.25%,39.50%,18.25%,35.25%
2024-11-26 15:34:03,31.00%,N/A,30.00%,22.00%
2024-11-26 15:34:05,33.50%,N/A,32.25%,33.25%
2024-11-26 15:34:07,32.25%,N/A,30.00%,23.25%
2024-11-26 15:34:09,29.25%,N/A,32.25%,33.25%
2024-11-26 15:34:11,26.50%,26.25%,29.25%,34.00%
2024-11-26 15:34:13,29.25%,28.00%,33.25%,28.50%
2024-11-26 15:34:15,32.00%,23.25%,33.00%,31.00%
2024-11-26 15:34:17,23.00%,27.25%,27.25%,31.25%
2024-11-26 15:34:19,27.25%,34.25%,33.25%,27.50%
2024-11-26 15:34:21,33.00%,31.25%,31.25%,33.25%
2024-11-26 15:34:23,33.25%,33.25%,29.25%,26.25%
2024-11-26 15:34:25,31.00%,23.50%,28.25%,34.25%
2024-11-26 15:34:27,25.25%,29.25%,29.25%,29.50%
2024-11-26 15:34:29,25.00%,27.00%,28.00%,29.00%
2024-11-26 15:34:32,28.25%,26.25%,N/A,31.25%
2024-11-26 15:34:34,23.25%,30.25%,N/A,25.00%
2024-11-26 15:34:36,21.25%,31.50%,N/A,32.50%
2024-11-26 15:34:38,27.25%,29.00%,N/A,24.00%
2024-11-26 15:34:40,34.25%,36.25%,N/A,25.50%
2024-11-26 15:34:42,28.25%,21.00%,N/A,34.00%
2024-11-26 15:34:44,38.00%,34.00%,N/A,25.00%
2024-11-26 15:34:46,36.50%,33.00%,N/A,28.25%
2024-11-26 15:34:48,23.50%,27.25%,N/A,27.00%
2024-11-26 15:34:50,25.50%,29.25%,N/A,29.50%
2024-11-26 15:34:52,33.00%,34.25%,31.25%,32.25%
2024-11-26 15:34:54,24.25%,32.25%,29.25%,35.25%
2024-11-26 15:34:56,31.25%,29.00%,32.00%,31.00%
2024-11-26 15:34:58,27.00%,24.25%,38.25%,34.25%
2024-11-26 15:35:00,30.00%,30.25%,37.00%,22.00%
2024-11-26 15:35:02,32.25%,33.25%,31.25%,32.25%
2024-11-26 15:35:04,28.25%,24.25%,25.00%,41.25%
2024-11-26 15:35:06,29.00%,31.00%,28.25%,41.00%
2024-11-26 15:35:08,38.25%,30.25%,40.25%,28.50%
2024-11-26 15:35:10,26.00%,25.00%,23.00%,29.00%
2024-11-26 15:35:12,21.25%,36.00%,22.25%,26.00%
2024-11-26 15:35:14,28.25%,41.25%,31.00%,34.00%
2024-11-26 15:35:16,33.25%,23.25%,26.50%,31.25%
2024-11-26 15:35:18,28.25%,25.50%,34.25%,20.00%
2024-11-26 15:35:20,35.25%,22.00%,36.00%,29.25%
2024-11-26 15:35:22,27.25%,35.25%,29.25%,38.00%
2024-11-26 15:35:24,24.00%,33.25%,31.50%,22.25%
2024-11-26 15:35:26,30.00%,22.50%,35.25%,23.00%
2024-11-26 15:35:28,27.25%,27.25%,27.25%,28.25%
2024-11-26 15:35:30,39.50%,37.25%,26.00%,29.00%
2024-11-26 15:35:32,28.50%,42.25%,25.00%,36.25%
2024-11-26 15:35:34,29.25%,28.00%,32.25%,33.00%
2024-11-26 15:35:36,27.00%,33.25%,47.50%,24.50%
2024-11-26 15:35:38,23.25%,32.25%,29.25%,38.25%
2024-11-26 15:35:40,29.25%,35.25%,35.25%,32.00%
2024-11-26 15:35:42,31.00%,34.00%,42.00%,30.25%
2024-11-26 15:35:44,30.25%,34.25%,37.00%,27.25%
2024-11-26 15:35:46,23.00%,30.00%,25.25%,28.25%
2024-11-26 15:35:48,35.25%,32.00%,29.25%,24.75%
2024-11-26 15:35:50,27.25%,34.25%,29.25%,38.00%
2024-11-26 15:35:52,31.25%,29.25%,25.00%,35.00%
2024-11-26 15:35:54,31.25%,24.00%,27.25%,27.00%
2024-11-26 15:35:56,28.25%,34.25%,25.25%,23.00%
2024-11-26 15:35:58,28.00%,37.00%,27.25%,35.00%
2024-11-26 15:36:00,28.50%,27.00%,44.00%,41.50%
2024-11-26 15:36:02,29.25%,23.50%,24.25%,28.25%
2024-11-26 15:36:04,28.25%,25.00%,23.00%,35.00%
2024-11-26 15:36:06,31.25%,22.25%,38.00%,35.25%
2024-11-26 15:36:08,25.25%,33.00%,30.25%,31.25%
2024-11-26 15:36:10,30.25%,28.00%,44.50%,28.25%
2024-11-26 15:36:12,21.00%,29.25%,32.25%,39.50%
2024-11-26 15:36:14,41.25%,35.25%,34.25%,27.50%
2024-11-26 15:36:16,26.50%,25.25%,25.25%,24.25%
2024-11-26 15:36:18,27.00%,21.25%,30.50%,27.00%
2024-11-26 15:36:20,30.00%,35.25%,33.00%,23.50%
2024-11-26 15:36:22,20.00%,26.50%,17.50%,31.00%
2024-11-26 15:36:24,34.25%,26.00%,28.25%,26.50%
2024-11-26 15:36:26,23.25%,31.25%,30.25%,29.00%
2024-11-26 15:36:28,31.25%,32.50%,32.00%,20.50%
2024-11-26 15:36:30,33.00%,30.25%,27.25%,43.00%
2024-11-26 15:36:32,33.00%,21.00%,43.25%,39.99%
2024-11-26 15:36:34,30.50%,26.25%,34.00%,29.00%
2024-11-26 15:36:36,30.25%,24.25%,28.00%,30.00%
2024-11-26 15:36:38,46.50%,23.00%,33.50%,27.74%
2024-11-26 15:36:40,30.00%,40.00%,31.25%,35.25%
2024-11-26 15:36:42,20.25%,37.25%,37.25%,30.50%
2024-11-26 15:36:44,34.00%,33.00%,25.25%,33.50%
2024-11-26 15:36:46,35.75%,32.00%,34.25%,32.00%
2024-11-26 15:36:48,25.25%,30.25%,36.25%,40.50%
2024-11-26 15:36:50,32.50%,25.00%,28.25%,26.00%
2024-11-26 15:36:52,31.25%,30.50%,24.25%,N/A
2024-11-26 15:36:54,32.50%,31.50%,34.25%,34.50%
2024-11-26 15:36:56,32.00%,37.50%,33.50%,25.25%
2024-11-26 15:36:58,26.50%,23.50%,28.25%,32.25%
2024-11-26 15:37:00,34.50%,30.25%,35.00%,27.25%
2024-11-26 15:37:02,30.25%,32.25%,24.00%,35.25%
2024-11-26 15:37:04,29.50%,30.25%,28.25%,30.00%
2024-11-26 15:37:06,37.25%,43.00%,23.25%,41.25%
2024-11-26 15:37:08,26.00%,32.00%,39.25%,37.25%
2024-11-26 15:37:10,32.25%,33.00%,22.25%,41.25%
2024-11-26 15:37:12,28.25%,30.00%,31.25%,24.25%
2024-11-26 15:37:14,30.00%,37.00%,39.50%,24.50%
2024-11-26 15:37:16,32.00%,28.25%,32.00%,24.25%
2024-11-26 15:37:18,N/A,34.00%,35.25%,27.25%
2024-11-26 15:37:20,N/A,28.00%,28.25%,29.25%
2024-11-26 15:37:22,32.25%,26.25%,30.25%,25.00%
2024-11-26 15:37:24,29.25%,32.50%,30.00%,32.25%
2024-11-26 15:37:26,40.00%,40.50%,28.25%,51.50%
2024-11-26 15:37:28,36.00%,30.00%,30.50%,34.00%
2024-11-26 15:37:30,29.25%,32.25%,23.75%,28.25%
2024-11-26 15:37:32,33.25%,22.00%,28.25%,33.00%
2024-11-26 15:37:34,40.25%,37.25%,33.25%,30.25%
2024-11-26 15:37:36,30.25%,30.25%,43.50%,34.00%
2024-11-26 15:37:38,32.25%,39.00%,27.25%,32.25%
2024-11-26 15:37:40,25.25%,27.50%,25.25%,30.50%
2024-11-26 15:37:42,38.00%,30.00%,35.25%,28.25%
2024-11-26 15:37:44,25.25%,31.25%,27.25%,24.00%
2024-11-26 15:37:46,27.25%,34.25%,23.25%,29.25%
2024-11-26 15:37:48,21.25%,30.50%,25.25%,22.00%
2024-11-26 15:37:50,32.25%,31.50%,24.25%,31.25%
2024-11-26 15:37:52,24.25%,31.00%,35.25%,29.00%
2024-11-26 15:37:54,36.25%,N/A,20.00%,43.00%
2024-11-26 15:37:56,35.00%,N/A,27.74%,25.00%
2024-11-26 15:37:58,25.50%,N/A,32.25%,36.25%
2024-11-26 15:38:00,23.25%,34.25%,28.25%,22.00%
2024-11-26 15:38:02,37.25%,27.25%,36.25%,24.25%
2024-11-26 15:38:04,46.25%,28.74%,27.25%,26.50%
2024-11-26 15:38:06,30.00%,38.00%,30.00%,25.00%
2024-11-26 15:38:08,23.50%,28.00%,28.50%,25.25%
2024-11-26 15:38:10,35.25%,38.00%,36.00%,32.00%
2024-11-26 15:38:12,33.25%,35.50%,37.25%,29.00%
2024-11-26 15:38:14,27.25%,22.25%,26.25%,30.25%
2024-11-26 15:38:16,41.50%,33.50%,33.25%,29.25%
2024-11-26 15:38:18,25.25%,35.00%,30.00%,34.25%
2024-11-26 15:38:20,31.25%,22.00%,N/A,34.25%
2024-11-26 15:38:23,28.25%,28.25%,N/A,25.00%
2024-11-26 15:38:25,27.00%,22.25%,N/A,37.25%
2024-11-26 15:38:27,24.50%,29.75%,N/A,43.25%
2024-11-26 15:38:29,33.00%,34.50%,N/A,29.25%
2024-11-26 15:38:31,34.00%,34.00%,N/A,17.25%
2024-11-26 15:38:33,28.25%,23.25%,N/A,28.00%
2024-11-26 15:38:35,35.00%,23.25%,N/A,32.25%
2024-11-26 15:38:37,37.25%,27.25%,N/A,41.00%
2024-11-26 15:38:39,37.50%,24.25%,20.25%,37.50%
2024-11-26 15:38:41,30.25%,43.00%,30.50%,29.25%
2024-11-26 15:38:43,32.50%,29.25%,31.00%,29.00%
2024-11-26 15:38:45,31.25%,35.25%,37.25%,29.25%
2024-11-26 15:38:47,37.50%,34.25%,26.25%,35.25%
2024-11-26 15:38:49,36.50%,32.25%,30.25%,37.25%
2024-11-26 15:38:51,30.50%,33.50%,26.00%,35.99%
2024-11-26 15:38:53,44.00%,31.25%,34.00%,35.00%
2024-11-26 15:38:55,26.50%,28.00%,33.25%,33.25%
2024-11-26 15:38:57,35.00%,23.50%,37.00%,39.00%
2024-11-26 15:38:59,27.00%,24.25%,30.00%,31.00%
2024-11-26 15:39:01,27.25%,27.50%,28.00%,31.25%
2024-11-26 15:39:03,20.00%,29.00%,27.50%,33.00%
2024-11-26 15:39:05,22.00%,33.50%,26.50%,37.50%
2024-11-26 15:39:07,41.00%,26.25%,27.25%,33.50%
2024-11-26 15:39:09,23.75%,32.25%,31.25%,24.50%
2024-11-26 15:39:11,27.00%,23.25%,30.50%,41.00%
2024-11-26 15:39:13,29.25%,33.25%,20.00%,36.25%
2024-11-26 15:39:15,26.50%,38.00%,30.25%,36.50%
2024-11-26 15:39:17,28.50%,24.00%,35.25%,27.75%
2024-11-26 15:39:19,38.25%,28.25%,31.25%,28.25%
2024-11-26 15:39:21,27.00%,21.25%,33.25%,26.25%
2024-11-26 15:39:23,31.25%,32.00%,33.25%,29.25%
2024-11-26 15:39:25,31.00%,22.25%,30.25%,22.25%
2024-11-26 15:39:27,34.50%,27.25%,29.00%,26.50%
2024-11-26 15:39:29,25.25%,20.25%,35.25%,32.00%
