Timestamp,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
2024-11-26 16:50:33,31.25%,30.25%,21.50%,N/A,30.25%,35.25%,33.25%,34.25%
2024-11-26 16:50:35,34.25%,33.25%,35.25%,N/A,31.50%,27.25%,34.25%,24.25%
2024-11-26 16:50:37,30.50%,27.25%,33.00%,39.00%,30.25%,33.00%,25.25%,25.00%
2024-11-26 16:50:39,33.00%,30.25%,31.00%,27.25%,33.00%,26.25%,23.25%,29.00%
2024-11-26 16:50:41,24.25%,31.25%,36.00%,42.25%,27.25%,33.25%,25.50%,35.50%
2024-11-26 16:50:43,34.50%,28.25%,28.50%,35.50%,31.25%,31.25%,26.00%,23.50%
2024-11-26 16:50:45,24.25%,24.25%,29.25%,18.74%,41.00%,25.00%,33.25%,29.25%
2024-11-26 16:50:47,32.00%,20.25%,31.25%,22.25%,26.00%,30.50%,33.50%,26.25%
2024-11-26 16:50:49,35.00%,31.25%,32.25%,28.50%,35.25%,35.50%,44.25%,28.50%
2024-11-26 16:50:51,29.25%,29.25%,26.00%,20.00%,34.25%,28.25%,33.50%,25.00%
2024-11-26 16:50:53,29.25%,30.25%,24.25%,22.00%,26.25%,26.50%,23.00%,32.00%
2024-11-26 16:50:55,27.25%,30.25%,38.00%,27.25%,26.00%,35.25%,34.50%,30.25%
2024-11-26 16:50:57,26.25%,33.25%,27.25%,46.50%,21.25%,37.25%,19.00%,33.50%
2024-11-26 16:50:59,31.25%,38.25%,31.00%,34.00%,26.25%,31.00%,32.25%,30.75%
2024-11-26 16:51:01,28.25%,27.00%,40.00%,20.25%,34.25%,36.00%,21.25%,30.00%
2024-11-26 16:51:03,28.25%,30.50%,31.50%,24.00%,25.25%,36.75%,26.00%,32.50%
2024-11-26 16:51:05,36.25%,16.00%,27.00%,23.25%,29.50%,28.25%,30.25%,35.25%
2024-11-26 16:51:07,32.00%,32.00%,31.25%,39.00%,27.25%,39.25%,29.50%,N/A
2024-11-26 16:51:09,34.00%,27.50%,33.25%,35.00%,33.25%,29.00%,39.25%,N/A
2024-11-26 16:51:12,23.25%,35.25%,32.00%,34.25%,28.25%,31.25%,33.00%,35.25%
2024-11-26 16:51:14,24.25%,18.00%,28.25%,35.00%,25.25%,31.25%,29.00%,36.00%
2024-11-26 16:51:16,33.00%,24.25%,24.00%,30.00%,31.25%,30.25%,33.50%,27.25%
2024-11-26 16:51:18,32.25%,36.25%,25.00%,34.25%,33.50%,32.00%,27.00%,37.25%
2024-11-26 16:51:20,19.25%,20.50%,20.00%,32.25%,37.00%,35.00%,27.50%,29.25%
2024-11-26 16:51:22,N/A,28.00%,36.25%,36.25%,27.50%,29.25%,48.00%,20.00%
2024-11-26 16:51:24,N/A,24.25%,21.50%,26.00%,24.00%,36.50%,33.00%,32.25%
2024-11-26 16:51:26,N/A,26.25%,29.50%,24.50%,32.25%,28.25%,28.50%,27.25%
2024-11-26 16:51:28,N/A,24.25%,40.25%,17.00%,33.24%,34.00%,21.50%,29.00%
2024-11-26 16:51:30,N/A,34.24%,35.50%,29.25%,33.25%,40.00%,29.50%,29.25%
2024-11-26 16:51:32,N/A,29.25%,33.25%,28.00%,30.25%,38.50%,36.25%,36.25%
2024-11-26 16:51:34,30.50%,31.25%,27.00%,26.25%,32.75%,27.78%,37.00%,24.25%
2024-11-26 16:51:36,30.00%,25.25%,37.50%,32.23%,28.25%,25.25%,36.00%,24.50%
2024-11-26 16:51:38,30.50%,26.25%,27.25%,27.00%,37.75%,36.25%,N/A,34.00%
2024-11-26 16:51:40,33.25%,31.25%,20.50%,31.25%,32.50%,20.25%,N/A,26.25%
2024-11-26 16:51:42,26.25%,36.00%,32.25%,40.25%,36.00%,34.75%,N/A,29.50%
2024-11-26 16:51:44,36.50%,29.00%,37.25%,34.00%,28.25%,38.25%,N/A,27.00%
2024-11-26 16:51:46,39.25%,33.75%,25.27%,33.50%,27.76%,34.00%,N/A,37.50%
2024-11-26 16:51:48,26.50%,27.25%,N/A,34.00%,27.25%,33.00%,N/A,31.25%
2024-11-26 16:51:50,35.00%,27.25%,N/A,45.00%,26.99%,N/A,N/A,27.00%
2024-11-26 16:51:52,29.00%,34.00%,N/A,33.25%,29.25%,N/A,29.25%,33.25%
2024-11-26 16:51:54,29.25%,31.50%,N/A,26.25%,28.75%,N/A,28.51%,38.00%
2024-11-26 16:51:56,31.01%,29.75%,N/A,50.25%,36.24%,N/A,33.01%,29.24%
2024-11-26 16:51:58,27.99%,38.50%,N/A,45.75%,41.01%,29.25%,27.75%,22.25%
2024-11-26 16:52:00,39.26%,21.27%,37.25%,39.76%,30.51%,21.25%,31.01%,36.01%
2024-11-26 16:52:02,28.00%,35.75%,40.23%,26.50%,38.27%,29.51%,40.51%,35.26%
2024-11-26 16:52:04,29.01%,39.26%,24.00%,29.51%,33.49%,28.25%,35.50%,32.50%
2024-11-26 16:52:06,22.00%,32.25%,32.50%,27.50%,31.25%,28.25%,26.25%,28.25%
2024-11-26 16:52:08,32.25%,42.00%,33.25%,36.50%,30.50%,26.00%,31.75%,34.25%
2024-11-26 16:52:10,26.74%,39.75%,39.00%,34.50%,30.25%,31.00%,26.25%,31.25%
2024-11-26 16:52:12,23.25%,25.75%,35.25%,27.00%,24.50%,44.50%,27.00%,36.00%
2024-11-26 16:52:14,36.25%,37.00%,33.25%,32.00%,36.25%,20.25%,36.00%,42.75%
2024-11-26 16:52:16,20.00%,33.25%,38.25%,37.50%,25.75%,31.25%,27.25%,37.25%
2024-11-26 16:52:18,30.25%,34.00%,29.00%,16.25%,43.50%,28.50%,24.25%,32.00%
2024-11-26 16:52:20,30.24%,40.75%,47.25%,30.50%,40.00%,31.00%,33.25%,24.50%
2024-11-26 16:52:22,35.25%,47.25%,33.00%,27.00%,30.25%,26.25%,29.25%,36.25%
2024-11-26 16:52:24,30.25%,22.00%,29.00%,24.00%,32.75%,20.25%,25.25%,43.00%
2024-11-26 16:52:26,26.25%,26.00%,30.50%,24.00%,21.00%,25.25%,39.50%,28.00%
2024-11-26 16:52:28,28.50%,38.50%,35.25%,31.00%,34.25%,22.25%,24.00%,33.50%
2024-11-26 16:52:30,39.00%,33.25%,30.25%,26.00%,23.25%,40.99%,21.50%,32.25%
2024-11-26 16:52:32,26.50%,28.00%,38.00%,30.25%,31.50%,37.25%,35.25%,44.25%
2024-11-26 16:52:34,28.00%,29.25%,21.50%,32.50%,34.25%,31.50%,23.00%,29.25%
2024-11-26 16:52:36,26.25%,32.00%,23.00%,31.25%,39.75%,34.00%,28.00%,33.25%
2024-11-26 16:52:38,23.25%,29.25%,26.50%,26.25%,33.25%,28.25%,37.25%,25.25%
2024-11-26 16:52:40,28.25%,30.25%,33.25%,48.00%,19.00%,37.25%,32.00%,28.25%
2024-11-26 16:52:42,20.25%,36.25%,26.25%,24.00%,34.25%,29.25%,30.50%,31.25%
2024-11-26 16:52:44,26.25%,27.25%,31.50%,27.50%,32.25%,30.25%,29.50%,33.50%
2024-11-26 16:52:46,37.25%,38.25%,32.25%,36.25%,28.50%,23.00%,36.25%,38.25%
2024-11-26 16:52:48,37.50%,19.00%,34.50%,34.00%,29.00%,26.25%,30.75%,33.25%
2024-11-26 16:52:50,22.50%,20.25%,25.25%,32.25%,28.50%,32.50%,34.00%,36.25%
2024-11-26 16:52:52,32.50%,32.25%,32.25%,28.25%,28.00%,30.25%,35.50%,29.00%
2024-11-26 16:52:54,34.25%,21.25%,25.50%,25.00%,25.25%,32.00%,27.50%,28.50%
2024-11-26 16:52:56,23.25%,22.25%,26.25%,31.25%,28.00%,23.50%,40.00%,23.25%
2024-11-26 16:52:58,25.25%,29.00%,43.00%,25.25%,33.25%,36.00%,27.00%,24.25%
2024-11-26 16:53:00,30.50%,34.00%,27.25%,38.25%,29.25%,42.25%,27.50%,32.25%
2024-11-26 16:53:02,30.50%,38.25%,34.25%,32.25%,32.50%,34.00%,32.00%,24.00%
2024-11-26 16:53:04,36.50%,34.00%,31.50%,31.25%,44.25%,37.00%,18.00%,19.00%
2024-11-26 16:53:06,39.50%,22.00%,33.25%,36.25%,29.74%,38.50%,37.50%,29.25%
2024-11-26 16:53:08,24.00%,21.50%,37.25%,33.00%,35.25%,27.25%,37.00%,24.00%
2024-11-26 16:53:10,27.25%,36.00%,28.25%,36.25%,41.25%,39.25%,26.50%,28.25%
2024-11-26 16:53:12,32.25%,38.50%,29.25%,22.00%,39.25%,36.25%,24.00%,30.25%
2024-11-26 16:53:14,29.00%,21.00%,33.25%,31.00%,31.50%,25.25%,28.25%,26.00%
2024-11-26 16:53:16,23.25%,40.25%,28.00%,37.25%,23.00%,31.25%,33.25%,33.50%
2024-11-26 16:53:18,24.25%,26.25%,35.25%,36.00%,35.00%,32.50%,25.25%,22.25%
2024-11-26 16:53:20,26.50%,29.00%,33.25%,40.00%,45.25%,28.25%,38.00%,28.25%
2024-11-26 16:53:22,26.25%,27.00%,23.00%,35.25%,28.25%,31.25%,30.00%,37.25%
2024-11-26 16:53:24,26.25%,27.25%,29.75%,37.25%,26.50%,30.50%,22.00%,28.25%
2024-11-26 16:53:26,27.25%,25.25%,34.00%,24.25%,24.50%,19.00%,29.50%,32.25%
2024-11-26 16:53:28,32.25%,29.25%,29.00%,36.25%,30.50%,25.00%,29.25%,27.00%
2024-11-26 16:53:30,22.00%,N/A,27.25%,30.74%,32.25%,20.50%,31.00%,39.00%
2024-11-26 16:53:32,32.25%,N/A,35.25%,27.25%,31.00%,30.25%,26.00%,34.00%
2024-11-26 16:53:34,31.75%,N/A,39.25%,37.50%,24.25%,36.25%,27.25%,20.25%
2024-11-26 16:53:36,39.25%,N/A,25.00%,24.00%,24.25%,28.00%,33.25%,27.00%
2024-11-26 16:53:38,34.25%,N/A,31.25%,29.00%,27.25%,21.00%,25.00%,37.50%
2024-11-26 16:53:40,31.00%,21.25%,26.25%,45.50%,17.00%,26.25%,25.00%,25.25%
2024-11-26 16:53:42,36.50%,26.25%,33.25%,38.25%,42.25%,37.25%,37.25%,29.50%
2024-11-26 16:53:44,35.25%,25.25%,18.00%,37.25%,29.25%,16.00%,28.25%,20.00%
2024-11-26 16:53:46,19.25%,31.50%,29.25%,34.25%,29.25%,27.00%,25.25%,31.00%
2024-11-26 16:53:48,39.50%,46.25%,27.75%,23.00%,34.00%,41.74%,29.25%,32.00%
2024-11-26 16:53:50,35.25%,27.00%,28.25%,24.50%,13.74%,27.00%,31.25%,30.50%
2024-11-26 16:53:52,19.25%,27.25%,39.25%,32.00%,28.25%,19.25%,18.00%,44.50%
2024-11-26 16:53:54,38.25%,44.00%,18.50%,32.00%,31.00%,32.25%,24.00%,33.25%
2024-11-26 16:53:56,28.25%,27.25%,23.25%,32.25%,N/A,34.00%,47.00%,31.50%
2024-11-26 16:53:58,27.25%,35.50%,39.25%,24.25%,N/A,32.50%,30.00%,33.25%
2024-11-26 16:54:00,31.50%,43.25%,21.00%,34.00%,N/A,37.50%,35.50%,34.25%
2024-11-26 16:54:02,25.25%,33.50%,33.74%,32.00%,28.00%,28.00%,32.25%,38.00%
2024-11-26 16:54:04,29.25%,29.50%,29.25%,21.00%,28.25%,21.00%,33.25%,35.00%
2024-11-26 16:54:06,23.50%,28.25%,31.50%,33.50%,22.50%,31.25%,38.00%,25.25%
2024-11-26 16:54:08,26.25%,33.25%,32.50%,36.25%,32.25%,26.25%,24.50%,31.25%
2024-11-26 16:54:10,28.50%,23.25%,35.25%,30.25%,28.00%,27.00%,29.00%,30.25%
2024-11-26 16:54:12,44.00%,29.00%,27.25%,38.25%,29.00%,35.25%,29.25%,21.00%
2024-11-26 16:54:14,32.50%,28.00%,30.25%,30.00%,27.00%,38.50%,32.25%,39.25%
2024-11-26 16:54:16,18.00%,33.25%,34.50%,24.50%,20.25%,31.25%,27.25%,27.25%
2024-11-26 16:54:18,32.50%,33.50%,29.00%,26.00%,34.25%,24.25%,31.25%,25.25%
2024-11-26 16:54:20,28.50%,24.25%,29.00%,24.25%,36.25%,21.00%,29.25%,27.50%
2024-11-26 16:54:22,22.25%,22.00%,34.25%,30.00%,26.50%,33.25%,30.25%,22.25%
2024-11-26 16:54:24,29.25%,30.50%,34.50%,N/A,22.25%,25.50%,22.00%,33.50%
2024-11-26 16:54:26,26.25%,38.25%,28.00%,N/A,35.00%,32.25%,24.00%,29.00%
2024-11-26 16:54:28,26.25%,27.25%,35.25%,N/A,24.50%,44.50%,30.50%,30.25%
2024-11-26 16:54:30,38.50%,31.25%,30.25%,N/A,34.25%,34.00%,34.00%,28.25%
2024-11-26 16:54:32,27.00%,35.25%,22.25%,24.00%,31.00%,31.00%,30.00%,31.25%
2024-11-26 16:54:34,34.50%,21.25%,25.00%,42.50%,42.00%,26.25%,33.25%,28.25%
2024-11-26 16:54:36,23.50%,29.25%,27.25%,25.25%,24.50%,20.25%,28.00%,27.25%
2024-11-26 16:54:38,33.00%,34.25%,27.25%,30.25%,36.00%,40.25%,25.25%,29.50%
2024-11-26 16:54:40,29.25%,27.00%,30.25%,18.00%,28.25%,39.25%,40.25%,29.00%
2024-11-26 16:54:42,41.25%,31.50%,28.00%,21.25%,26.50%,30.25%,29.25%,31.00%
2024-11-26 16:54:44,23.00%,33.00%,27.25%,31.25%,18.00%,34.00%,30.25%,22.25%
2024-11-26 16:54:46,37.25%,35.25%,37.25%,22.00%,37.50%,34.25%,30.00%,28.25%
2024-11-26 16:54:48,23.25%,25.25%,38.50%,36.00%,26.25%,36.25%,38.50%,32.00%
2024-11-26 16:54:50,34.25%,25.25%,36.50%,36.25%,20.25%,30.25%,26.25%,28.25%
2024-11-26 16:54:52,21.25%,33.25%,29.25%,17.25%,27.25%,23.25%,25.50%,26.00%
2024-11-26 16:54:54,27.00%,30.00%,34.25%,36.25%,21.00%,27.00%,34.25%,34.25%
2024-11-26 16:54:56,29.25%,25.25%,30.50%,33.25%,22.25%,33.50%,34.25%,27.00%
2024-11-26 16:54:58,35.25%,24.00%,30.25%,22.00%,29.25%,27.25%,29.25%,25.25%
2024-11-26 16:55:00,28.25%,23.00%,30.25%,34.25%,38.00%,29.00%,32.25%,26.25%
2024-11-26 16:55:02,39.25%,27.00%,27.50%,29.00%,34.00%,42.25%,21.25%,N/A
2024-11-26 16:55:05,22.74%,30.25%,24.00%,21.25%,39.50%,34.00%,36.25%,N/A
2024-11-26 16:55:07,35.25%,41.00%,33.25%,40.25%,27.25%,30.00%,18.25%,38.00%
2024-11-26 16:55:09,23.25%,32.00%,35.00%,27.25%,29.25%,30.25%,30.25%,44.50%
2024-11-26 16:55:11,23.25%,29.50%,32.25%,33.25%,33.50%,29.00%,29.25%,26.00%
2024-11-26 16:55:13,36.50%,25.00%,30.25%,29.25%,27.25%,24.50%,36.00%,35.00%
2024-11-26 16:55:15,N/A,26.50%,34.00%,30.25%,31.25%,34.50%,28.25%,29.00%
2024-11-26 16:55:17,N/A,42.00%,28.50%,31.25%,31.00%,35.25%,36.50%,37.50%
2024-11-26 16:55:19,N/A,33.50%,30.25%,30.25%,20.74%,25.00%,25.00%,31.00%
2024-11-26 16:55:21,N/A,27.25%,19.00%,28.25%,34.25%,31.50%,31.00%,20.25%
2024-11-26 16:55:23,N/A,33.00%,37.25%,34.25%,37.00%,27.50%,24.75%,28.25%
2024-11-26 16:55:25,N/A,25.25%,25.00%,36.25%,18.25%,30.25%,32.25%,42.00%
2024-11-26 16:55:27,38.50%,37.25%,40.25%,36.50%,28.00%,25.25%,36.25%,34.25%
2024-11-26 16:55:29,34.25%,33.25%,19.50%,28.25%,43.50%,22.25%,27.00%,35.25%
2024-11-26 16:55:31,25.00%,34.25%,29.25%,35.25%,30.00%,33.00%,N/A,31.00%
2024-11-26 16:55:33,22.50%,26.50%,31.25%,30.00%,27.25%,38.00%,N/A,38.00%
2024-11-26 16:55:35,42.25%,40.25%,31.50%,41.00%,36.25%,22.25%,N/A,23.25%
2024-11-26 16:55:37,30.25%,32.50%,28.25%,29.50%,31.00%,25.25%,N/A,27.25%
2024-11-26 16:55:39,39.50%,30.00%,24.25%,24.00%,33.50%,31.25%,N/A,34.00%
2024-11-26 16:55:41,28.25%,23.50%,N/A,28.25%,32.00%,36.00%,N/A,22.50%
2024-11-26 16:55:43,31.50%,28.25%,N/A,31.00%,35.00%,N/A,N/A,39.00%
2024-11-26 16:55:45,31.25%,22.25%,N/A,38.00%,31.25%,N/A,33.25%,29.50%
2024-11-26 16:55:47,26.25%,37.50%,N/A,35.00%,28.00%,N/A,30.00%,32.25%
2024-11-26 16:55:49,26.25%,26.50%,N/A,29.25%,30.25%,N/A,40.25%,41.25%
2024-11-26 16:55:51,32.00%,30.50%,N/A,36.25%,27.25%,21.25%,36.25%,26.25%
2024-11-26 16:55:53,29.00%,39.50%,42.00%,30.25%,38.25%,36.25%,34.00%,23.00%
2024-11-26 16:55:55,33.74%,25.00%,32.00%,34.25%,25.00%,26.50%,25.74%,21.25%
2024-11-26 16:55:57,20.74%,33.25%,32.00%,22.00%,21.25%,28.25%,25.50%,35.50%
2024-11-26 16:55:59,32.00%,31.25%,34.25%,32.00%,23.25%,20.00%,29.00%,35.25%
2024-11-26 16:56:01,33.00%,26.00%,23.50%,30.00%,34.50%,25.25%,31.25%,32.50%
2024-11-26 16:56:03,32.25%,31.25%,34.50%,23.50%,24.25%,37.00%,22.00%,27.25%
2024-11-26 16:56:05,25.25%,23.25%,24.25%,18.25%,31.25%,28.25%,32.25%,29.25%
2024-11-26 16:56:07,38.25%,18.00%,27.00%,29.25%,35.25%,29.25%,25.50%,25.25%
2024-11-26 16:56:09,26.25%,24.25%,29.25%,40.25%,39.25%,28.00%,26.00%,31.00%
2024-11-26 16:56:11,37.25%,28.50%,42.00%,26.00%,32.50%,40.25%,21.25%,22.50%
2024-11-26 16:56:13,33.00%,19.25%,26.50%,18.25%,32.00%,23.25%,18.25%,29.25%
2024-11-26 16:56:15,34.00%,31.25%,26.25%,31.50%,21.50%,27.50%,34.00%,33.25%
2024-11-26 16:56:17,25.25%,34.25%,34.25%,23.25%,26.00%,24.25%,25.00%,32.00%
2024-11-26 16:56:19,31.25%,26.25%,21.75%,30.50%,37.25%,38.00%,26.25%,42.25%
2024-11-26 16:56:21,36.50%,21.25%,18.25%,31.25%,40.00%,29.50%,32.25%,24.25%
2024-11-26 16:56:23,33.25%,35.50%,34.25%,30.00%,34.25%,29.25%,28.25%,26.00%
2024-11-26 16:56:25,38.00%,27.00%,40.25%,28.25%,27.50%,26.25%,35.00%,19.25%
2024-11-26 16:56:27,33.25%,21.25%,24.25%,36.00%,27.25%,38.50%,25.25%,27.25%
2024-11-26 16:56:29,28.25%,32.25%,30.25%,27.25%,31.75%,27.00%,20.25%,31.25%
2024-11-26 16:56:31,42.25%,35.00%,23.25%,24.25%,28.50%,35.25%,29.00%,31.25%
2024-11-26 16:56:33,29.25%,44.25%,30.00%,25.25%,30.25%,31.25%,17.25%,33.00%
2024-11-26 16:56:35,31.50%,29.25%,32.25%,26.25%,25.25%,42.25%,36.00%,36.50%
2024-11-26 16:56:37,35.25%,32.50%,29.50%,28.00%,37.50%,30.25%,25.00%,25.25%
2024-11-26 16:56:39,41.25%,31.00%,35.50%,27.25%,29.00%,26.25%,26.25%,25.25%
2024-11-26 16:56:41,34.25%,37.00%,31.25%,30.25%,33.25%,25.25%,35.00%,30.25%
2024-11-26 16:56:43,22.50%,38.50%,33.00%,29.25%,23.25%,31.25%,33.25%,34.00%
2024-11-26 16:56:45,38.25%,34.00%,28.00%,30.25%,38.50%,35.25%,37.25%,31.25%
2024-11-26 16:56:47,25.25%,28.25%,33.00%,32.50%,28.00%,42.25%,24.00%,25.25%
2024-11-26 16:56:49,25.50%,33.25%,31.25%,34.25%,34.25%,28.50%,42.00%,40.50%
2024-11-26 16:56:51,35.25%,28.25%,26.25%,22.25%,34.50%,18.50%,24.25%,31.25%
2024-11-26 16:56:53,24.25%,33.25%,31.50%,26.00%,32.25%,36.25%,40.00%,40.00%
2024-11-26 16:56:55,33.25%,35.00%,24.00%,25.00%,24.75%,37.50%,25.00%,26.25%
2024-11-26 16:56:57,20.00%,24.25%,21.50%,26.25%,33.50%,29.00%,25.50%,25.75%
2024-11-26 16:56:59,23.50%,26.50%,37.25%,34.25%,24.00%,32.25%,29.25%,41.25%
2024-11-26 16:57:01,37.25%,21.00%,34.50%,28.00%,26.50%,40.50%,34.25%,34.00%
2024-11-26 16:57:03,24.25%,36.25%,24.50%,29.25%,28.25%,33.00%,26.00%,32.25%
2024-11-26 16:57:05,25.25%,40.25%,18.25%,38.25%,32.25%,27.25%,22.50%,43.25%
2024-11-26 16:57:07,36.00%,41.00%,37.25%,41.25%,26.25%,28.00%,27.25%,27.00%
2024-11-26 16:57:09,25.25%,24.00%,25.50%,24.25%,20.25%,23.25%,29.25%,31.50%
2024-11-26 16:57:11,25.25%,25.00%,28.25%,29.00%,23.25%,36.00%,24.50%,28.25%
2024-11-26 16:57:13,26.25%,30.75%,37.50%,26.00%,27.50%,29.00%,37.25%,27.25%
2024-11-26 16:57:15,29.00%,28.50%,20.25%,20.75%,29.25%,26.00%,25.00%,29.00%
2024-11-26 16:57:17,25.00%,38.25%,27.00%,41.25%,30.50%,26.00%,29.00%,32.25%
2024-11-26 16:57:19,35.25%,N/A,20.25%,28.00%,34.25%,24.00%,33.00%,28.25%
2024-11-26 16:57:21,32.25%,N/A,32.25%,25.25%,35.50%,24.25%,33.00%,20.00%
2024-11-26 16:57:23,34.50%,N/A,34.50%,43.25%,18.25%,25.50%,30.00%,35.25%
2024-11-26 16:57:25,19.00%,N/A,39.00%,24.25%,33.50%,29.00%,32.50%,38.25%
2024-11-26 16:57:27,25.00%,N/A,31.50%,31.00%,28.50%,32.50%,25.00%,21.25%
2024-11-26 16:57:29,34.50%,N/A,28.00%,26.25%,25.50%,32.50%,30.25%,30.25%
2024-11-26 16:57:31,36.00%,28.00%,19.25%,30.50%,33.50%,26.25%,36.25%,39.00%
2024-11-26 16:57:33,29.25%,30.25%,28.25%,26.25%,30.25%,30.50%,28.00%,36.00%
2024-11-26 16:57:35,28.50%,29.25%,36.25%,25.25%,32.50%,32.00%,29.25%,26.25%
2024-11-26 16:57:37,34.50%,30.25%,42.25%,18.25%,42.25%,27.50%,18.25%,25.00%
